,parcel_group,nparcel,from_trop,from_ovw,from_lms,end_trop,end_ovw,end_lms
0,ovw,980,0.41,99.19,0.51,10.98,71.54,17.48
1,lms,175,42.02,49.47,12.03,36.17,5.85,57.98
2,overshoot,62,80.64,20.97,0.0,67.74,0.0,32.36
