,parcel_group,nparcel,from_trop,from_ovw,from_lms,end_trop,end_ovw,end_lms
0,ovw,1032,0.48,98.35,1.26,10.66,69.89,19.48
1,lms,2183,30.39,45.81,24.15,44.11,1.7,54.19
2,overshoot,408,94.85,4.41,0.98,86.76,0.0,13.24
